question,passage,idx,label
Была ли цивилизация у кочевников?,"Кочево́е госуда́рство — термин, принятый в исторической литературе для обозначения особой формы организации власти, присущей обществам кочевого типа. Основой такого государства была не инфраструктура  центры торговли и ремесел) на определённой территории , а стратегически важное значение земли, обладание которой давало основу существования государства. Земля была нужна прежде всего для прокорма скота. Как показывает история, государства такого типа были недолговечны, так как в связи с падением значения Великого шелкового пути , и развития морской торговли, кочевая цивилизация, просуществовавшая более 3 тысяч лет, пришла в упадок. Кочевые государства, постоянно сменяя друг друга, существовали в Евразии с середины I тыс.",47,1
Едят ли гречку только в странах бывшего ссср?,"Традиционным блюдом восточноевропейских евреев является «каша варнишкес» — гречневая каша, смешанная с вермишелью. Широко используется в качестве гарнира в странах бывшего СССР и крайне мало в западноевропейских странах, за исключением вышеупомянутых примеров. В последние годы некоторое увеличение потребления продуктов из гречневой крупы на Западе связано с использованием её в диетических целях. Непрожаренная крупа, известная как «зелёная гречка», считается диетическим и «здоровым» продуктом, причём стоит в два и более раз дороже обычной, обработанной гречки. Из неё также делают каши и другие блюда.",48,0
Был ли захвачен лондон?,"Ранний Лондиниум занимал очень маленькую площадь, сравнимую с размером Гайд-парка. В XIX веке археологами было установлено, что длина города с востока на запад составляла примерно 1 милю , а с севера на юг — примерно 0,5 мили . Существует теория, что уже ко времени вторжения на этой территории существовало крупное поселение, но во время археологических раскопок ничего, что бы подтвердило эту версию, не было обнаружено. Впрочем, на бо́льшей части исторического центра раскопки не проводились, и существование поселения до вторжения полностью отрицать нельзя. Примерно в 60 году н. э. город подвергся атаке бриттской королевы Боудикки  и значительная часть Лондона была предана огню.",49,1
Правда ли что вич не передаётся от матери к ребенку?,"Исследователи выдвинули предположение, что вирус может вызывать синдром приобретённого иммунного дефицита. В 1986 году было обнаружено, что вирусы, открытые в 1983 французскими и американскими исследователями, генетически идентичны. Первоначальные названия вирусов были упразднены и предложено одно общее название — вирус иммунодефицита человека. В 2008 году Люк Монтанье и Франсуаза Барр-Синусси были удостоены Нобелевской премии в области физиологии или медицины «за открытие вируса иммунодефицита человека». Вирус может передаваться через прямой контакт повреждённой или неповрежденной слизистой оболочки или повреждённой кожи здорового человека с биологическими жидкостями заражённого человека: кровью, предсеменной жидкостью , спермой, секретом влагалища, грудным молоком.",50,0
Служили ли крестьяне в армии?,"15 января 1918 года был опубликован декрет СНК РСФСР «О Рабоче-Крестьянской Красной Армии». В нём говорилось: …Совѣтъ Народныхъ Комиссаровъ постановляетъ: организовать новую армію подъ названіемъ «Рабоче-Крестьянская Красная Армія», на слѣдующихъ основаніяхъ: 1) Рабоче-Крестьянская Красная Армія создаётся из наиболѣе сознательныхъ и организованныхъ элементовъ трудящихся классовъ. 2) Доступъ въ ея ряды открытъ для всѣхъ гражданъ Россійской Республики не моложе 18 лѣтъ. Въ Красную Армію поступаетъ каждый, кто готовъ отдать свои силы, свою жизнь для защиты завоёванной Октябрьской Революціи, и власти Совѣтовъ и соціализма. 10 января 1918 году в Харькове был подписан документ о формировании Червонного Казачества во главе с В. М. Примаковым, которое вскоре вошло в состав Красной армии.",51,1
Был ли сбит самолет в иране?,"Катастро́фа A300 над Перси́дским зали́вом — крупная авиационная катастрофа, произошедшая в воскресенье 3 июля 1988 года. Авиалайнер Airbus A300B2-203 авиакомпании Iran Air совершал коммерческий пассажирский рейс IR655 по маршруту Тегеран—Бендер-Аббас—Дубай, но через 7 минут после вылета из Бендер-Аббаса, пролетая над Персидским заливом, был сбит ракетой «земля-воздух», выпущенной с ракетного крейсера ВМС США «Vincennes». Погибли все находившиеся на борту самолёта 290 человек — 274 пассажира  и 16 членов экипажа. Катастрофа рейса 655 стала крупнейшей авиакатастрофой в истории Ирана и самолёта Airbus A300, а также в истории самолётов семейства «Airbus». Во время пуска ракеты крейсер «Vincennes» находился в территориальных водах Ирана.",52,1
Входит ли сербия в ес?,"Се́рбия , официально Респу́блика Се́рбия  — независимое государство в юго-восточной Европе, в центральной части Балканского полуострова и частично Паннонской низменности, не имеющее выхода к морю. Член ООН с 2000 года, 1 марта 2012 года официально приобрела статус кандидата в члены Евросоюза. Согласно конституции Сербии, в её составе находятся два автономных края: Воеводина и Косово и Метохия. Косово с 1999 года, согласно резолюции СБ ООН 1244, находится под протекторатом ООН и властями Сербии не контролируется. Институты временного местного самоуправления, в которых албанцы составляют большинство, односторонне провозгласили независимость края 17 февраля 2008 года, которую признают 97 государств — членов ООН.",53,0
Был ли эцио де фиренце в реальной жизни?,"Эцио Аудиторе де Фиренце  — главный персонаж видеоигр «Assassin’s Creed II», «Assassin’s Creed: Brotherhood» и «Assassin’s Creed: Revelations». Предок Дезмонда Майлза. Друг Леонардо Да Винчи. Владелец Монтериджони. Эцио Аудиторе де Фиренце являлся ассасином эпохи Ренессанса, впоследствии ставшим мастером-предводителем Братства в Италии.",54,0
Был ли невиновен тед банди?,"Теодо́р Ро́берт Ба́нди , урождённый Теодо́р Ро́берт Ка́уэлл  — американский серийный убийца, насильник, похититель людей и некрофил, действовавший в 1970-е годы. Его жертвами становились молодые девушки и девочки. Точное число его жертв неизвестно. Незадолго до своей казни он признался в 30 убийствах в период между 1974 и 1978 годами, однако настоящее количество его жертв может быть гораздо больше. Банди пользовался своим обаянием, чтобы завоёвывать доверие своих жертв.",55,0
Правда ли что пернатые динозавры не водились в забайкалье?,"Перья же появлялись у разных групп динозавров независимо, в результате конвергентной эволюции. В 2015 году был обнаружен череп кулиндадромея. 4 августа 2015 года на совещании, которое было посвящено созданию палеонтологического памятника «Кулинда» — на месте находки ископаемых остатков кулиндадромея, — губернатор Забайкалья Константин Ильковский выступил с инициативой: популяризовать забайкальского пернатого динозавра. Участники совещания также обсудили возможность создания музея-выставки динозавров в Чите и сезонной выставки в непосредственном месте проведения раскопок. На месте находки кулиндадромея в 2020 годусоздали особо охраняемую природную территорию регионального значения — учебно-научный стационар «Кулинда» площадью 86,72 га.",56,0
Разрешено ли движение в пешеходной зоне?,"Пешехо́дная зо́на — городская территория исключительно для пешеходного движения, где запрещено передвижение на автотранспортных средствах, за исключением автомобилей спецслужб, коммунальной техники, маршрутного транспорта, транспорта для инвалидов, а также обслуживания магазинов . Для помощи ориентации в пространстве пешеходам с нарушением зрения в пешеходных зонах укладывают тактильное покрытие. Первые пешеходные зоны появились в 1950-х годах в Европе. В российской практике пешеходная зона — территория, обозначенная со всех сторон по периметру дорожным знаком 5.33 «Пешеходная зона» . Пешеходная зона заканчивается в месте установления дорожного знака 5.34 «Конец пешеходной зоны».",57,0
Была ли в риме демократия?,"С момента своего возникновения демократия была концепцией, открытой для интерпретаций. Её история фактически является не только историей борьбы между сторонниками народовластия и его противниками, но и историей дискуссий среди сторонников. Предметом дискуссий были такие вопросы, как: Что представляет собой «народ», наделённый властью ? Какие культурные ценности, правила и институты необходимы для демократии? Относится ли демократия только к государству или её реализация требует вовлечения всех аспектов общественной жизни?Демократия в её современном понимании имеет своё начало в Древней Греции и Древнем Риме, традициях средневековых городов-государств и развитии представительных органов власти в Европе и некоторых британских колониях в новое время.",58,1
Правда ли что в европе не было бань?,"Бани содержали не только массажные кабинеты и общие бассейны. В крупных банях находились так же библиотеки и гимнастические залы, поскольку они считались своеобразными центрами общественной жизни. Из-за общего упадка материальной культуры огромных роскошных терм, как в древнем Риме, у европейцев раннего Средневековья не было. Так, термам города Рима пришёл конец, когда в VI в. осаждая Рим, готы разрушили римские водопроводы, хотя некоторое количество древних римских терм продолжало работать в средневековой Италии, например, в Поццуоли и Салерно. Крупные древние термы сохранились также в Константинополе и других крупных городах Византии.",59,0
Разрешено ли продавать энергетики?,"Подобные напитки разрешено продавать несовершеннолетним во многих штатах. В Великобритании на 2007 год выделяли: Не содержащие алкоголь напитки : не более 0.05% алкоголя по объему; Напитки, из которых был удален алкоголь : от 0.05% до 0.5% алкоголя; Слабо-алкогольные : не более 1.2% алкоголя.В законодательстве Российской Федерации алкогольной продукцией не признаются напитки, содержащие менее 0.5% алкоголя, и такой же уровень установлен по ГОСТ. Продажи безалкогольного пива растут во многих странах. Объемы потребления безалкогольного пива оценивались в среднем в размере около 0.6% от мирового потребления пива; пиво с пониженным содержанием алкоголя — около 2.2%. Исследователями отмечалась популярность подобного пива в отдельных странах Ближнего Востока и севера Африки .",60,1
Пост-модерн это то же самое что и модернизм?,"Поздний модернизм — интернациональное направление современного искусства, в широком смысле описывающие все направления современного искусства созданные после Второй мировой войны до начала XXI века. Терминология часто указывает на сходство между поздним модернизмом и постмодернизмом, хотя есть различия. Преобладающим термином для произведений искусства созданных с 1950-х годов является термин современное искусство. Однако не все искусство, обозначенное как современное искусство, является модернистским или постмодернистским, в более широком смысле термин охватывает как художников, которые продолжают работать в современных и позднемодернистских традициях, так и художников, которые отвергают модернизм по другим причинам. Критик Артур Данто в работе «After the End of Art» утверждает, что современное искусство более широкий термин нежели поздний модернизм, произведения позднего модернизма представляют подсектор современного искусства, и эти произведения пришли на смену произведениям модерна и модернизма. Параллельно рая других критиков, таких как: Жан-Франсуа Лиотар, Кирк Варнедо, Хилтон Крамер утверждают, что произведения позднего модернизма, в лучшем случае относятся к произведениям модерна.",61,0
Правда ли что точка удаленная от центра окружности на расстояние радиуса не входит в окружность?,"Окру́жность — замкнутая плоская кривая, которая состоит из всех точек на плоскости, равноудалённых от заданной точки: эта точка называется центром окружности. Отрезок, соединяющий центр с какой-либо точкой окружности, называется радиусом; радиусом называется также и длина этого отрезка. Окружность разбивает плоскость на две части — конечную внутреннюю и бесконечную внешнюю. Внутренность окружности называется кругом; граничные точки  в зависимости от подхода, круг может включать или не включать. Практическое построение окружности возможно с помощью циркуля.",62,0
Репрессии это миф?,"Тем не менее доносы не пропадали даром. Когда необходимо было арестовать конкретных лиц, то сотрудники НКВД брали тех, на кого ранее указывали осведомители. Казанков отмечает, что сотрудникам НКВД был важен сам человек, на которого указал источник, а не его конкретные правонарушения. Поэтому Казанков приводит примеры того, что людей, указанных осведомителями, арестовывали в период Большого террора, причем предъявляли им обвинения, не связанные с тем, что об этих людях писали ранее доносчики. Репрессии в отношении секретных осведомителей НКВД практиковались уже в период Большого террора.",63,0
Был ли в россии голодомор?,"Го́лод в СССР  — массовый голод, охвативший в 1932—1933 годах обширные территории СССР , входившие в состав Украинской ССР, Российской СФСР  и Белорусской ССР. За вторую половину XIX столетия особой жестокостью отличались голодные годы, порождённые неурожи, — 1873, 1880, 1883, 1891, 1892, 1897 и 1898 годы. В XX веке особенно выделялись голодные 1901, 1905, 1906, 1907, 1908, 1911 и 1913 годы. Тем не менее, эти продовольственные проблемы в Российской империи после 1892 года не приводили к заметному повышению смертности, и документальные подтверждения массовой смертности от голода отсутствуют. Причины голода в XX веке крылись не в сфере обмена, а в сфере производства хлеба, и вызывались они прежде всего чрезвычайными колебаниями урожаев в России в связи с их низкой абсолютной величиной и недостаточным земельным обеспечением населения, что, в свою очередь, не давало ему возможности накопить в урожайные годы денежные или хлебные запасы.",64,1
Был ли воздушный парад?,"Парад в Москве на Красной площади 9 мая 2008 года прошёл в День Победы, в 63-ю годовщину со дня окончания Великой Отечественной войны в 10:00 по московскому времени. На этом параде Президент Российской Федерации Дмитрий Анатольевич Медведев впервые выступил в качестве Верховного Главнокомандующего Вооружёнными Силами Российской Федерации. Во время парада впервые в истории современной России на Красной площади была использована тяжёлая военная техника. В параде также принимали участие истребители и стратегические бомбардировщики. Командовал парадом командующий войсками Московского военного округа — генерал армии Владимир Юрьевич Бакин, принимал парад министр обороны России — Анатолий Эдуардович Сердюков.",65,1
Правда ли гипноз со звездами?,"«Звёзды под гипнозом» — российская телепередача, которая выходила в эфир с 4 февраля по 19 августа 2018 года на «Первом канале». Шоу позиционировало себя как реалити, но критиками неоднократно высказывались подозрения в постановочном характере передачи. Такого рода шоу не новинка на российском телевидении. За несколько лет до «Звёзд под гипнозом» на ТНТ выходило шоу «Гипноз», являющееся адаптацией британского шоу «The Hypnotic World», которое вёл Пол Маккенна. Однако оно не вызвало подобного фурора.",66,0
Едят ли в пост яйца?,"Различные религиозные конфессии и течения предписывают собственные правила питания, включающие ограничения на употребление тех или иных пищевых продуктов и напитков. В христианстве употребление идоложертвенного категорически возбраняется, а нарушение этого запрета влечет за собой суровые канонические наказания. Например, правила Поместного Анкирского Собора  накладывают на христиан, употреблявших в пищу идоложертвенное, наказание в форме отлучения от церковного общения сроком от одного года до семи лет, в зависимости от тяжести их вины и многократности преступления. Во время поста , в зависимости от его степени строгости, воспрещается употребление: мяса и молочных продуктов, рыбы, яиц. В христианстве запрещены к употреблению в пищу кровь животных; мертвечина, удавленина и звероядина.",67,0
Правда ли что япония не является частью евразии?,"Япо́ния , официальное название Государство Япония  — островное государство в Восточной Азии. Находится в Тихом океане к востоку от Японского моря, Китая, Северной и Южной Кореи, России. Занимает территорию от Охотского моря на севере до Восточно-Китайского моря и Тайваня на юге. Поэтическое название — Страна восходящего солнца. Расположена на Японском архипелаге, состоящем из 6852 островов.",68,0
Вредна ли ртуть в градуснике?,"Ртуть  — элемент шестого периода периодической системы химических элементов Д. И. Менделеева с атомным номером 80, относящийся к подгруппе цинка, 12-й группе . Простое вещество ртуть — переходный металл, при комнатной температуре представляющий собой тяжёлую серебристо-белую жидкость, пары которой чрезвычайно ядовиты, контаминант. Ртуть — один из двух химических элементов , простые вещества которых при нормальных условиях находятся в жидком агрегатном состоянии . Ртуть известна с древних времён. Нередко её находили в самородном виде , но чаще получали обжигом природной киновари.",69,1
Правда ли что гитлер не был женат?,"Ева Анна Паула Бра́ун ; 6 февраля 1912, Мюнхен — 30 апреля 1945, Берлин) — сожительница Адольфа Гитлера, с 29 апреля 1945 года — законная супруга. Ева Браун родилась в мюнхенской мелкобуржуазной семье, проживавшей в трёхкомнатной квартире в Швабинге по улице Изабеллаштрассе, 45. Отец Фриц Браун, родом из Рейнской области, служил учителем в ремесленном училище. Мать Франциска Катарина, урождённая Кронбергер, дочь окружного ветеринара из Верхнего Пфальца, до замужества работала портнихой на мюнхенской текстильной фабрике:24—25. У Евы была старшая сестра Ильза и младшая — Гретль.",70,0
Был ли и. а. бунин потомственным крестьянином?,"Ива́н Алексе́евич Бу́нин  октября 1870 года, Воронеж, Воронежская губерния, Российская империя — 8 ноября 1953, Париж, Франция) — русский писатель, поэт и переводчик, лауреат Нобелевской премии по литературе 1933 года. Будучи представителем обедневшей дворянской семьи, Бунин рано начал самостоятельную жизнь; в юношеские годы работал в газетах, канцеляриях, много странствовал. Первым из опубликованных произведений Бунина стало стихотворение «Над могилой С. Я. Надсона»; первый стихотворный сборник вышел в свет в 1891 году в Орле. В 1903 году получил Пушкинскую премию за книгу «Листопад» и перевод «Песни о Гайавате»; в 1909 году был повторно удостоен этой награды за 3-й и 4-й тома Собрания сочинений. В 1909 году избран почётным академиком по разряду изящной словесности Императорской Санкт-Петербургской академии наук.",71,0
Был ли геноцид армян?,"Геноци́д армя́н  — геноцид, организованный и осуществлённый в 1915 году  на территориях, контролируемых властями Османской империи. Геноцид осуществлялся путём физического уничтожения и депортации, включая перемещение гражданского населения в условиях, приводящих к неминуемой смерти. Геноцид армян проводился в несколько стадий: разоружение армянских солдат, избирательная депортация армян из пограничных районов, принятие закона о высылке, массовая депортация и убийства армян. Некоторые историки включают в него убийства 1890-х годов, резню в Смирне и действия турецких войск в Закавказье в 1918 году . Основными организаторами геноцида считаются лидеры младотурок Талаат, Джемаль и Энвер, а также руководитель «Особой организации» Бехаэддин Шакир.",72,1
Разрешено ли казино в сочи?,"«Красная Поляна» — игорная зона в посёлке Красная Поляна Адлерского района города Сочи . Распоряжение Правительства Российской Федерации о создании пятой игорной зоны «Красная поляна» в Сочи было подписано 10 августа 2016 года. Игорная зона расположена в горном кластере Сочи на земельных участках площадью 165 тыс. м², предоставленных ранее для размещения олимпийских объектов, финансирование и строительство которых осуществлялось не за счет бюджетных средств или средств государственной корпорации «Олимпстрой», а частными инвесторами. Изначально с предложением создать игорную зону в Сочи на олимпийских объектах в феврале 2012 года выступал экс-глава госкомпании «Курорты Северного Кавказа»  Ахмед Билалов.",73,1
Есть ли дед мороз?,"В его основе — всё те же легенды о святом Николае. Рождественский дед представляется как дружелюбный старик с длинной белой бородой, красной шубе с белым мехом, мешком с подарками и розгой. В рождественскую ночь он одаривает «хороших» детей и наказывает «плохих», объединяя, таким образом, в своём лице функции св. Николая и его наказывающих помощников. Европейские переселенцы в Америку привезли с собой легенды о св.",74,0
Проиграли ли монголы битву на калке?,"Западный поход монголов — поход войск Монгольской империи в Восточную и Центральную Европу в 1236—1242 годах во главе с чингизидом Батыем и военачальником Субэдэем. Впервые Чингисхан приказал Субэдэю покорить кипчаков и дойти до города Киева ещё в 1221 году: Однако после победы в битве на реке Калке монголы отказались от плана похода на Киев и в 1224 году по пути обратно на восток потерпели поражение от волжских булгар и башкир. Чингисхан передал в управление своему сыну Джучи «страну кипчаков» и поручил ему заботиться о расширении владений, в том числе за счёт русских земель. После смерти Джучи в 1227 году земли его улуса переходят к его сыну — Батыю. Великим ханом стал сын Чингисхана Угэдэй.",75,0
Была ли сцена после титров в мстители финал?,"Закрытая премьера фильма в США состоялась 29 июня 2015 года, в Европе — 8 июля. В широкий прокат в США фильм вышел 17 июля 2015 года, в России — 16 июля. Фильм стал последним во второй фазе киновселенной Marvel. В финале, вторую сцену после титров, взятую напрямую из фильма «Первый мститель: Противостояние», снимали режиссёры Энтони и Джо Руссо. В России фильм получил возрастной рейтинг 12+.",76,1
Был ли адам евреем?,"Авраа́м , изначально Авра́м — библейский персонаж: сын Фарры из колена Евера, правнука Сима, первого сына Ноя; отец Измаила и Исаака. Родоначальник многих народов . Первый из трёх еврейских патриархов ; первый, кто в Библии называется евреем  и родоначальником еврейского народа. Родился, по традиционной библейской хронологии, в 1812 году до н. э.  или в 1948 году со дня сотворения мира; прожил 175 лет и умер в 1637 году до н. э. . По ЭСБЕ, родился в 2040 году до н. э.  и умер в 1865 году до н. э. .",77,0
Был ли первый год?,"Это — статья о нумерации лет в календаре, см. также статью о числе 0.Нулевой год и «нулевой год до н. э.» не существуют согласно григорианскому и юлианскому летоисчислениям. Это связано с отсутствием понятия математического нуля у европейцев в VI веке, на момент введения отсчёта лет от новой эры. В принятом в исторической науке счёте лет за 1 годом до н. э. следует 1 год н. э. Однако нулевой год используется в астрономической записи, в которой счёт лет соответствует бесконечной в обе стороны последовательности целых чисел на координатной прямой. При таком расчёте, когда каждому году соответствует целое число , перед годом номер 1  должен идти нулевой год.",78,1
Всегда ли джеки чан обходился без дублеров?,"Джеки Чан сам вызвался на небольшую роль, специально прибыв на съёмки, чтобы два дня посвятить этой сцене. Успеха добился и следующий совместный проект Джеки Чана и Стэнли Тонга «Первый удар». Тонг получил за него награду как лучший режиссёр на кинофестивале «Golden Horse» в Тайбэе, в том же конкурсе «Первый удар» также номинировался на премии за лучший фильм и лучшую режиссуру. В трёх фильмах, где Тонг был режиссёром, а Джеки Чан — актёром, Стэнли также всегда был дублёром Джеки. Как видите, Джеки стал играть скорее героев поневоле, чем агрессивных персонажей.",79,0
Был ли мэллори на эвересте?,"На теле Мэллори также было обнаружено много артефактов, таких как альтиметр, убранные в карман куртки солнцезащитные очки, маска от кислородного аппарата, письма и др., позволявших сделать вывод, что срыв произошел в темное время суток на спуске к лагерю VI, откуда они начали свой подъём на вершину. Но, самое главное, среди вещей не была найдена фотография его жены Рут и флаг Британии, которые он намеревался оставить на вершине Эвереста. Тело Эндрю Ирвина так и не было найдено. До обнаружения останков Мэллори, на основании анализа опыта последующих экспедиций, большинство альпинистов и экспертов считали, что едва ли Мэллори и Ирвин в их снаряжении и одежде, а также с их техникой скалолазания, могли достигнуть вершины Эвереста. Для этого им требовалось преодолеть ключевой участок на пути к вершине по северо-восточному гребню — так называемую «Вторую ступень» — 30-метровый ступенеобразный скальный выступ, технически достаточно сложный для восхождения на столь большой высоте  ).",80,1
Правда ли что кипр не входит в евросоюз?,"Она открылась в 1905 году, и насчитывала 39 станций и остановок, в том числе Фамагусту и Никосию. В 1951—1952 годах была закрыта в связи с низкой окупаемостью. Автодороги на Кипре являются одними из лучших в Евросоюзе, и делятся на основные, вспомогательные асфальтированные, просёлочные и автомагистрали . Движение — левостороннее. Основные 4 дороги проходят по южному побережью от Ларнаки до Лимасола и ведут в Никосию.",81,0
Был ли у иисуса отец?,"Евангелие от Матфея начинается с родословия Иисуса Христа. Фактически это родословие Иосифа, «мужа Марии, от Которой родился Иисус, называемый Христос» . В Евангелии от Луки также есть родословие Христа: «Иисус, начиная Своё служение, был лет тридцати, и был, как думали, Сын Иосифов, Илиев…» . Эти два родословия не совпадают, в промежутках между Давидом и Иосифом почти что нет общих имен, кроме Зоровавеля. В частности, на это противоречие указывал император Юлиан.",82,1
Запах из канализации полезен?,"Вонь, Смрад — неприятный, отвратительный, противный и дурной запах, зловоние, горелые, удушливые пары, чад. Вонять — издавать вонь, испускать дурной запах, смердеть. Название такого запаха подразумевает дополнительную, резко негативную эмоциональную характеристику. Антоним этому слову — аромат. Вонь у человека вызывает как отрицательные ассоциации, так и соответствующие физиологические реакции — редкое и неглубокое дыхание или даже временную приостановку дыхания.",83,0
 Правда ли что пророк даниил не был евнухом?,"По особенностям внешнего вида — наличию тонзуры и отсутствию волос на лице — кастратов легко выделить на изображениях, из которых первое известное находится в Минологии Василия II. Начиная с X века упоминания кастратов становятся чаще, а отношение к ним — лучше. Предпринимаются попытки теоретически обосновать существование евнухов. Во второй половине X века Симеон Метафраст написал житие пророка Даниила, которого он считал евнухом. Рассуждая о кастрации Даниила, Симеон проводит параллель между окружающими царский престол евнухами и небесным хором ангелов — и те, и другие находятся вне обычного времени и пространства.",84,0
Правда ли виды акул невозможно перепутать?,"Они наиболее распространены в северной части своего ареала. Встречаются на глубине от 5 до 50 м, хотя есть данные о нахождении этих акул на глубине 350 м. Эти акулы водятся у побережья Великобритании, Ирландии, Франции, Испании, Португалии, возможно, Азорских островов и Мадейры, а также у берегов Восточно-Капской провинции и Квазулу-Наталь. Вероятно, из-за путаницы со звёздчатой куньей акулы ареал этого вида может быть переоценён. В северной Атлантике европейская кунья акулы встречается реже, а в Средиземном море чаще по сравнению с звёздчатой куньей акулой. Исследования, проведённые с 1994 по 1999 год, показали, что из 6336 уловов в 111 попались европейские куньи акулы.",85,0
Были ли в россии графы?,"В России до Петра I титулы имели только государи и потомки прежних удельных и владетельных князей. Иван III установил большой  и малый титулы . По мере расширения территории государства изменялся и титул: Иван IV в 1547 принял титул царя, в 1721 Сенат и Синод поднесли Петру I титул императора. Сам Пётр I начал жаловать титулы графа и барона, а вместе с этим появились и соответствующие обращения: сиятельство и светлость. Последнее обращение в дальнейшем сохранилось лишь в некоторых княжеских родах .",86,1
Состоит ли россия в совете европы?,"Российская Федерация вступила в Совет Европы 28 февраля 1996 года, а 30 марта 1998 года ею была ратифицирована Европейская Конвенция о защите прав человека и основных свобод. Тем самым Россия подтвердила свою приверженность идеалам и принципам гуманизма и демократии, а также готовность скорректировать целый ряд законодательных актов, противоречащих положениям Конвенции. Присоединяясь к СЕ, Россия заверила организацию в том, что она готова привести своё законодательство и политическую систему в соответствие с европейскими нормами. С момента присоединения к СЕ Россия подвергалась критике со стороны стран-участниц за ущемления прав человека, войну в Чечне, сворачивание демократических свобод и притеснение СМИ. Вторая чеченская война могла привести к исключению России из СЕ, однако санкции ограничились лишь лишением слова её делегации в Парламентской ассамблее Совета Европы  в 2000 г. ПАСЕ настаивает на скорейшей отмене Россией смертной казни, указывая, что это единственный член этой организации, который не выполнил это обязательство.",87,1
Вреден ли гранит в доме?,"Гранит является одной из самых плотных, твёрдых и прочных пород. Используется в строительстве в качестве облицовочного материала. Кроме того, гранит имеет низкое водопоглощение и высокую устойчивость к морозу и загрязнениям. Вот почему он оптимален для мощения как внутри помещения, так и снаружи. Однако стоит помнить, что такое помещение будет иметь несколько более высокий радиационный фон, в связи с чем не рекомендуется облицовывать некоторыми видами гранита жилые помещения.",88,1
Есть ли статья за клевету и оскорбления?,"Максимальный штраф не превысил 100 тысяч рублей, а 101 подсудимого приговорили к штрафам до 25 тысяч рублей. В России статья 128.1 Уголовного кодекса «Клевета» иногда используется для преследования тех, кто критикует представителей власти. Например, в 2016 году было возбуждено уголовное дело по части первой этой статье в отношении жителя Магадана, который критиковал местного губернатора В. П. Печеного во время общественной проверки качества построенных домов[значимость факта?]. В России сообщение порочащей гражданина информации в обращении в орган государственной власти или в орган местного самоуправления формально не рассматривается как клевета. Однако Уполномоченный по правам человека в Российской Федерации в 2016 году выявил случай осуждения гражданки за подачу жалобы в органы прокуратуры на угрозы со стороны начальницы.",89,1
Состоит ли британия в ес?,"По соглашению с ЕС 31 января 2020 года Великобритания потеряла представительство и право голоса в органах власти ЕС, но при этом она останется частью единого экономического пространства вплоть до конца 2020 года. В течение этих 11 месяцев Великобритания и ЕС должны договориться о новых условиях торговли и сотрудничества. См. также: Glossary of Brexit terms.Термин англ. Brexit образован от Britain  и exit  по аналогии с термином «Grexit», который известен с 6 февраля 2012 года и означал гипотетический выход Греции из еврозоны.",90,0
Правда ли что гепатит б от матери к ребенку не передается?,"Руководящие указания в Великобритании гласят, что первоначально ответившие на прививку лица  нуждаются в дальнейшей защите . Им рекомендуется, для сохранения иммунитета к вирусу гепатита B, повторная ревакцинация — раз в пять лет. Безопасный секс, включая сведение к минимуму числа партнёров и использование барьерных методов , защищают от передачи инфекции. Профилактика вертикальной передачи вируса гепатита B от инфицированной матери к ребёнку непосредственно во время беременности рекомендована, по крайней мере, женщинам с высокой вирусной нагрузкой и/или высоким уровнем HBsAg, начиная с 24-28-ой недель беременности и до 12 недель после родов. Для тех новорожденных, чьи матери инфицированы HBsAg: только одна вакцина против гепатита В, только иммуноглобулин гепатита В или комбинация вакцины плюс иммуноглобулин против гепатита В. Эти меры предотвращают передачу HBV во время родов в 86 % −99 % случаев.",91,0
Правда ли что римская империя это миф?,"Свяще́нная Ри́мская импе́рия, с 1512 года — Свяще́нная Ри́мская импе́рия герма́нской на́ции  — надгосударственный союз итальянских, немецких, балканских, франкских и западно-славянских государств и народов, существовавший с 962 по 1806 годы. В период наивысшего расцвета в состав империи входили: Германия, являвшаяся её ядром, северная и центральная Италия, Нижние Земли, Чехия, а также некоторые регионы Франции. С 1134 года Священная Римская империя формально состояла из трёх королевств: Германии, Италии и Бургундии. С 1135 года в состав империи вошло королевство Чехия, официальный статус которого в составе империи был окончательно урегулирован в 1212 году. Империя была основана в 962 году германским королём Оттоном I и рассматривалась как прямое продолжение античной Римской империи и франкской империи Карла Великого.",92,0
Вреден ли глутамат натрия?,"Один из вьетнамских вариантов названия в переводе на русский язык звучит как «луковая соль» . В Америке, начиная с 1960 года, выпускался под маркой Ac’cent , начал плотно входить в обиход и стал привычной домашней добавкой. Нет свидетельств отрицательного воздействия глутамата натрия на организм человека при употреблении в пищу в количествах, представляющихся разумными. Негативное влияние на организм млекопитающего было показано в исследовании японского университета Хиросаки  под руководством Хироси Огуро : при кормлении крыс глутаматом натрия в количестве 20 % сухого веса от всей потребляемой пищи в течение 6 месяцев была обнаружена потеря зрения и истончение сетчатки глаз. Огуро признаёт, что были использованы большие количества глутамата натрия, на несколько порядков превышающие возможное количество при обычном потреблении.",93,0
Был ли яков джугашвили в плену?,"Согласно трёхстраничному рапорту бригадного комиссара Алексея Румянцева, безуспешные поиски сына Сталина продолжались до 25 июля. Первый допрос взятого в плен Якова Джугашвили состоялся 18 июля 1941 года. Оригинальный протокол был найден после войны в архиве министерства авиации в Берлине и находится сегодня в Центральном архиве министерства обороны в Подольске. В ходе допроса Яков заявил, что он с гордостью защищал свою страну и её политическую систему, но в то же время он не скрывал своего разочарования действиями Красной армии. Скитания Якова Джугашвили по немецким лагерям продолжались почти два года.",94,1
